categorias,tokens,etiquetas
Bswift,"['xxx', 'cigna', 'card', 'xxx', 'call', 'today', 'state', 'cigna', 'card', 'yet', 'log', 'account', 'explain', 'must', 'cigna', 'provid', 'phone', 'number']",1
Bswift,"['add', 'insur', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'complet', 'tri', 'add', 'newborn', 'system', 'birth', 'certif', 'upload', 'proof', 'birth', 'hospit', 'research', 'bswift', 'resolut', 'upload', 'today', 'explain', 'bswift', 'check', 'document', 'thrusday', 'reason', 'receiv', 'reject', 'back', 'get', 'assist', 'addit', 'info']",1
Bswift,"['hsa', 'assist', 'hsa', 'close', 'ticket']",1
Bswift,"['life', 'event', 'status', 'bswift', 'work', 'howev', 'want', 'make', 'sure', 'everyth', 'life', 'event', 'go', 'us', 'compani', 'email', 'thank']",1
Bswift,"['life', 'insur', 'name', 'retire', 'lafarg', 'holcim', 'would', 'like', 'know', 'amount', 'life', 'insur', 'coverag', 'amount', 'polici', 'thank', 'help', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['spous', 'mri', 'deni', 'name', 'verifi', 'ssn', 'yes', 'verifi', 'dob', 'yes', 'phone', 'number', 'email', 'address', 'request', 'wife', 'call', 'today', 'state', 'doctor', 'order', 'mri', 'insur', 'deni', 'necessari', 'insur', 'need', 'document', 'trial', 'treatment', 'tri', 'mri', 'alreadi', 'noth', 'wrong', 'bone', 'nevertheless', 'requir', 'mri', 'know', 'someth', 'wrong', 'muscl', 'tendon', 'connect', 'tissu', 'mra', 'need', 'even', 'move', 'insur', 'need', 'support', 'document', 'medic', 'necessari', 'moment', 'insur', 'told', 'need', 'physic', 'therapi', 'cortisol', 'inject', 'mri', 'go', 'go', 'pocket', 'know', 'would', 'enter', 'deduct', 'research', 'check', 'cover', 'depend', 'resolut', 'escal', 'benefit', 'addit', 'info', 'ask', 'denial', 'document', 'add', 'send']",1
Bswift,"['term', 'let', 'sent', 'mobil', 'devic', 'origin', 'messag', 'snag', 'date', 'gmt', 'subject', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['come', 'back', 'layoff', 'effect', 'want', 'benefit', 'reactiv', 'full', 'name', 'applic', 'ssn', 'xxx', 'dob', 'valid', 'ticket', 'reason', 'come', 'back', 'layoff', 'effect', 'want', 'benefit', 'reactiv', 'call', 'number', 'email', 'address', 'research', 'bswift', 'inde', 'benefit', 'waiv', 'contribut', 'receiv', 'resolut', 'task', 'benefit', 'team', 'share', 'biswift', 'bill', 'phone', 'number', 'contact', 'biswift', 'get', 'option', 'unpaid', 'contribut', 'addit', 'info']",1
Bswift,"['name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'call', 'number', 'email', 'address', 'request', 'call', 'state', 'complet', 'smoke', 'cigna', 'cigna', 'told', 'get', 'back', 'let', 'know', 'pleas', 'take', 'tobacco', 'charg', 'payrol', 'process', 'ask', 'refund', 'pleas', 'issu', 'check', 'refund', 'much', 'check']",1
Bswift,"['name', 'verifi', 'ssn', 'yes', 'verifi', 'dob', 'yes', 'phone', 'number', 'email', 'address', 'request', 'want', 'chang', 'hsa', 'contribut', 'research', 'explain', 'websit', 'resolut', 'could', 'also', 'let', 'know', 'need', 'assist', 'pleas', 'send', 'email', 'addit', 'info']",1
Bswift,"['urgent', 'coverag', 'cigna', 'end', 'spous', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'want', 'email', 'call', 'along', 'cigna', 'rep', 'spous', 'appear', 'system', 'cover', 'pleas', 'review', 'upset', 'want', 'respons', 'research', 'daughter', 'appear', 'cover', 'bswift', 'end', 'check', 'previous', 'case', 'resolut', 'addit', 'info']",1
Bswift,"['cobra', 'question', 'employe', 'cigna', 'inquir', 'polici', 'need', 'know', 'use', 'cobra', 'insur', 'lafarg', 'transfer', 'cobra']",1
Bswift,"['cigna', 'card', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'want', 'know', 'get', 'medic', 'dental', 'card', 'research', 'bswift', 'resolut', 'let', 'know', 'insur', 'activ', 'must', 'contact', 'cigna', 'direct', 'get', 'card', 'transfer', 'addit', 'info']",1
Bswift,"['insur', 'polici', 'email', 'phone', 'number', 'sent', 'yahoo', 'mail', 'android', 'jul', 'write', 'would', 'like', 'know', 'polici', 'cancel', 'employe', 'carraway', 'sign', 'husband', 'child', 'beneficiari', 'sent', 'yahoo', 'mail', 'android', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['waiv', 'medic', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'want', 'know', 'medic', 'insur', 'alreadi', 'opt', 'research', 'task', 'resolut', 'let', 'know', 'medic', 'insur', 'waiv', 'sinc', 'tomorrow', 'nevertheless', 'dental', 'vision', 'proof', 'coverag', 'submit', 'addit', 'info']",1
Bswift,"['come', 'back', 'layoff', 'effect', 'want', 'benefit', 'reactiv', 'full', 'name', 'applic', 'ssn', 'xxx', 'dob', 'valid', 'ticket', 'reason', 'come', 'back', 'layoff', 'effect', 'want', 'benefit', 'reactiv', 'call', 'number', 'email', 'address', 'research', 'bswift', 'inde', 'benefit', 'waiv', 'contribut', 'receiv', 'resolut', 'task', 'benefit', 'team', 'share', 'biswift', 'bill', 'phone', 'number', 'contact', 'biswift', 'get', 'option', 'unpaid', 'contribut', 'addit', 'info']",1
Bswift,"['stalv', 'beneficiari', 'life', 'insur', 'letter', 'team', 'stalv', 'wife', 'stalvig', 'xxx', 'call', 'today', 'say', 'receiv', 'letter', 'lafargeholcim', 'relat', 'beneficiari', 'life', 'insur', 'letter', 'date', 'want', 'add', 'insur', 'pleas', 'contact', 'explain', 'process', 'follow', 'email', 'also', 'want', 'know', 'share', 'inform', 'relat', 'husband', 'polici', 'mail', 'counti', 'road', 'superior', 'thank']",1
Bswift,"['dental', 'xxx', 'call', 'today', 'state', 'medic', 'dental', 'benefit', 'end', 'today', 'want', 'know', 'could', 'extend', 'dental', 'medic', 'also', 'want', 'know', 'process', 'cobra', 'email']",1
Bswift,"['bswift', 'issu', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'tri', 'access', 'bswift', 'work', 'possibl', 'log', 'resolut', 'recommend', 'contact', 'bswift', 'technic', 'support', 'ask', 'addit', 'info']",1
Bswift,"['start', 'scratch', 'transfer', 'get', 'access', 'compani', 'email', 'close', 'ticket']",1
Bswift,"['beneficiari', 'life', 'insur', 'chang', 'request', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'want', 'modifi', 'beneficiari', 'life', 'insur', 'research', 'check', 'previous', 'case', 'resolut', 'tier', 'ask', 'beneficiari', 'chang', 'format', 'mail', 'unless', 'proceed', 'direct', 'onlin', 'addit', 'info']",1
Bswift,"['hsa', 'refund', 'fail', 'vet', 'morn', 'follow', 'peopl', 'fail', 'vet', 'payflex', 'need', 'hsa', 'turn', 'ytd', 'refund', 'amount', 'list', 'ytd', 'pleas', 'confirm', 'benefit', 'analyst', 'lafargeholcim', 'cell', 'fax', 'email', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['benefit', 'coverag', 'waiv', 'empploye', 'call', 'valid', 'reason', 'benefit', 'waiv', 'check', 'bswift', 'confirm', 'medic', 'waiv', 'non', 'contribut', 'pay', 'bswift', 'team', 'employe', 'awar', 'use', 'benefit', 'coverag', 'nevertheless', 'ask', 'anyth', 'could', 'do', 'restor', 'benefit', 'back', 'wish', 'gor', 'trough', 'pandem', 'told', 'employe', 'phone', 'tri', 'escal', 'exempt', 'promis', 'sinc', 'issu', 'system', 'continu', 'wiht', 'benefit', 'email', 'phone']",1
Bswift,"['payflex', 'phone', 'number', 'former', 'employe', 'contact', 'get', 'fidel', 'number', 'provid', 'number', 'action', 'requir']",1
Bswift,"['benefit', 'waiv', 'get', 'benefit', 'deduc', 'team', 'cancel', 'medic', 'coverag', 'along', 'benefit', 'howev', 'get', 'deduct', 'pleas', 'review', 'deduct', 'delimit', 'accord', 'thank']",1
Bswift,"['name', 'ssn', 'confirm', 'dob', 'confirm', 'phone', 'number', 'email', 'want', 'contact', 'request', 'add', 'insur', 'upload', 'doc', 'marriag', 'licenc', 'receiv', 'email', 'state', 'verif', 'requir', 'much', 'ask', 'upload', 'someth', 'alreadi', 'upload', 'pleas', 'confirm', 'whether', 'need', 'upload', 'someth', 'els', 'need', 'upload', 'anyth', 'els', 'pleas', 'confirm', 'wife', 'coverag', 'research', 'sap', 'bswift', 'resolut', 'escal', 'benefit', 'depart', 'addit', 'info', 'pleas']",1
Bswift,"['salling', 'death', 'notif', 'relat', 'task', 'bruzda', 'daugther', 'salling', 'reach', 'cigna', 'told', 'claim', 'initi', 'father', 'life', 'insur', 'death', 'notif', 'alreadi', 'process', 'relat', 'cigna', 'notifif', 'death', 'yet', 'could', 'pleas', 'check', 'contact', 'back']",1
Bswift,"['famili', 'coverag', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'wife', 'want', 'know', 'cover', 'husband', 'polici', 'research', 'check', 'bswift', 'resolut', 'want', 'know', 'go', 'receiv', 'card', 'encourag', 'contact', 'cigna', 'addit', 'info']",1
Bswift,"['dob', 'incorrect', 'name', 'wife', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'mention', 'incorrect', 'dob', 'correct', 'research', 'bswift', 'resolut', 'escal', 'benefit', 'addit', 'info']",1
Bswift,"['name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'deduct', 'sinc', 'month', 'contribut', 'author', 'research', 'puoc', 'set', 'sinc', 'resolut', 'deduct', 'make', 'afford', 'want', 'contribut', 'escal', 'pension', 'addit', 'info']",1
Bswift,"['lamon', 'std', 'payment', 'appear', 'call', 'review', 'much', 'get', 'simul', 'payment', 'notic', 'get', 'anyth', 'tracker', 'show', 'approv', 'say', 'perhap', 'offici', 'notifi', 'could', 'check', 'thank']",1
Bswift,"['dental', 'coverag', 'waiv', 'need', 'along', 'sister', 'call', 'need', 'dental', 'appoint', 'found', 'dental', 'coverag', 'ltd', 'realli', 'need', 'system', 'appear', 'waiv', 'reason', 'chang', 'special', 'enrollmentsav', 'pratik', 'bswift', 'could', 'pleas', 'check', 'enabl', 'modifi', 'get', 'dental', 'mani', 'thank', 'email']",1
Bswift,"['cigna', 'notic', 'insur', 'coverag', 'afternoon', 'sure', 'happen', 'enrol', 'year', 'receiv', 'attach', 'notic', 'cigna', 'deni', 'coverag', 'receiv', 'evid', 'insur', 'form', 'sure', 'thought', 'submit', 'medic', 'questionnair', 'part', 'open', 'enrol', 'thank', 'manag', 'readi', 'aggreg', 'industri', 'mid', 'atlant', 'region', 'triangl', 'drive', 'suit', 'greenbelt', 'phone', 'cell', 'email', 'www', 'lafargeholcim', 'http', 'www', 'lafargeholcim', 'member', 'lafargeholcim', 'group', 'look', 'perform', 'www', 'concretethatperform', 'com', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'mail', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['document', 'request', 'eight', 'alabama', 'requir', 'send', 'beneficiari', 'chang', 'form', 'certif', 'insur', 'coverag', 'state', 'benefit', 'entitl', 'could', 'pleas', 'send', 'document', 'state', 'address', 'mani', 'thank']",1
Bswift,"['beneficiari', 'design', 'form', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['coldi', 'dob', 'correct', 'name', 'coldi', 'verifi', 'ssn', 'yes', 'verifi', 'dob', 'yes', 'phone', 'number', 'email', 'address', 'request', 'email', 'want', 'make', 'correct', 'ssn', 'xxx', 'dob', 'date', 'bswift', 'correct', 'one', 'research', 'check', 'bswift', 'date', 'show', 'wrong', 'resolut', 'escal', 'benefit', 'team', 'let', 'employe', 'know', 'go', 'contact', 'inform', 'requir', 'addit', 'info', 'moment']",1
Bswift,"['holcim', 'usa', 'retir', 'save', 'hour', 'employe', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'appli', 'benefit', 'administr', 'sent', 'letter', 'say', 'benefit', 'holcim', 'usa', 'retir', 'save', 'hour', 'employe', 'time', 'work', 'holcim', 'research', 'sap', 'resolut', 'transfer', 'pension', 'depart', 'explain', 'handl', 'case', 'relat', 'addit', 'info']",1
Bswift,"['coverag', 'name', 'ssn', 'confirm', 'dob', 'confirm', 'phone', 'number', 'email', 'use', 'email', 'cigna', 'insur', 'call', 'mention', 'employe', 'disabl', 'payment', 'reject', 'bswift', 'research', 'sap', 'puoc', 'first', 'thought', 'receiv', 'incom', 'well', 'resolut', 'provid', 'bswift', 'bill', 'general', 'addit', 'info', 'moment']",1
Bswift,"['xxx', 'pension', 'issu', 'name', 'retire', 'verifi', 'ssn', 'phone', 'number', 'email', 'address', 'request', 'retire', 'sinc', 'problem', 'receiv', 'fidel', 'call', 'fidel', 'told', 'compani', 'must', 'author', 'releas', 'research', 'bswift', 'valid', 'yeferson', 'told', 'author', 'anyth', 'fidel', 'need', 'someth', 'side', 'encourag', 'pleas', 'fidel', 'ask', 'reach', 'direct', 'detail', 'explan', 'need', 'resolut', 'inform', 'communic', 'phone', 'addit', 'info']",1
Bswift,"['proof', 'spous', 'attach', 'find', 'tax', 'document', 'show', 'proof', 'spous', 'pleas', 'let', 'know', 'need', 'anyth', 'els', 'territori', 'manag', 'western', 'southern', 'lafargeholcim', 'fredonia', 'quarri', 'road', 'fredonia', 'cell', 'email', 'web', 'www', 'lafarg', 'com', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['life', 'insur', 'benefit', 'retire', 'prearrang', 'name', 'daughter', 'conting', 'beneficiari', 'dpoa', 'lafarg', 'retire', 'spous', 'primari', 'beneficiari', 'pass', 'away', 'per', 'convers', 'regard', 'refer', 'inform', 'need', 'prearrang', 'aforement', 'retire', 'requir', 'inform', 'follow', 'retire', 'dob', 'polici', 'flx', 'life', 'insur', 'benefit', 'four', 'telephon', 'number', 'updat', 'first', 'attn', 'dpoa', 'beneficiari', 'chang', 'form', 'attach', 'name', 'email', 'show', 'sielaff', 'husband', 'need', 'use', 'printer', 'scanner', 'attach', 'form', 'email', 'thank', 'help', 'truli', 'sielaff', 'attach', 'pleas', 'escal', 'provid', 'respons', 'via', 'email', 'work', 'everyth', 'get', 'setup', 'prearrang', 'appreci', 'updat', 'thank']",1
Bswift,"['urgent', 'child', 'coverag', 'reject', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'us', 'compani', 'email', 'call', 'bswift', 'deni', 'request', 'provid', 'appropri', 'document', 'although', 'fulli', 'offici', 'birth', 'certif', 'doc', 'provid', 'hospit', 'child', 'work', 'also', 'part', 'want', 'make', 'sure', 'get', 'resolv', 'pleas', 'review', 'notifi', 'via', 'email', 'research', 'bswift', 'sap', 'appear', 'child', 'cover', 'check', 'previous', 'case', 'resolut', 'tier', 'addit', 'info']",1
Bswift,"['urgent', 'stroke', 'critic', 'ill', 'benefit', 'cigna', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'want', 'contact', 'email', 'pay', 'critic', 'ill', 'critic', 'ill', 'voluntari', 'option', 'recent', 'stroke', 'get', 'support', 'cigna', 'say', 'get', 'runaround', 'basic', 'told', 'contact', 'inform', 'understand', 'call', 'confirm', 'next', 'step', 'research', 'bswift', 'show', 'coverag', 'activ', 'effect', 'sinc', 'check', 'previous', 'case', 'yes', 'resolut', 'tier', 'addit', 'info']",1
Bswift,"['sthaffer', 'benefit', 'question', 'life', 'insur', 'want', 'know', 'whether', 'father', 'life', 'insur', 'compani', 'sinc', 'pass', 'away', 'pension', 'administr', 'recommend', 'get', 'touch', 'told', 'benefit', 'meant', 'father', 'life', 'insur']",1
Bswift,"['child', 'coverag', 'name', 'verifi', 'ssn', 'yes', 'verifi', 'dob', 'yes', 'phone', 'number', 'email', 'address', 'request', 'want', 'know', 'famili', 'cover', 'research', 'check', 'cover', 'except', 'resolut', 'explain', 'appeal', 'obtain', 'window', 'upload', 'document', 'explain', 'day', 'upload', 'document', 'encourag', 'upload', 'birth', 'certif', 'miss', 'wait', 'next', 'week', 'child', 'cover', 'reason', 'document', 'accept', 'pleas', 'back', 'escal', 'addit', 'info']",1
Bswift,"['coverag', 'name', 'ssn', 'confirm', 'dob', 'confirm', 'phone', 'number', 'email', 'hire', 'want', 'know', 'enrol', 'benefit', 'system', 'allow', 'add', 'anyth', 'onto', 'benefit', 'messag', 'enrol', 'yet', 'complet', 'hire', 'yet', 'complet', 'hire', 'enrol', 'pleas', 'complet', 'enrol', 'contact', 'mylif', 'research', 'check', 'sap', 'check', 'resolut', 'escal', 'benefit', 'depart', 'handl', 'addit', 'info', 'moment']",1
Bswift,"['add', 'daughter', 'insur', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'add', 'daughter', 'insur', 'want', 'know', 'chang', 'alreadi', 'effect', 'need', 'insur', 'court', 'order', 'research', 'bswift', 'resolut', 'document', 'upload', 'correct', 'nevertheless', 'let', 'know', 'need', 'upload', 'document', 'proof', 'loss', 'coverag', 'court', 'order', 'previous', 'insur', 'statement', 'etc', 'justifi', 'life', 'event', 'addit', 'info']",1
Bswift,"['bswift', 'deni', 'marriag', 'doc', 'team', 'bswift', 'deni', 'document', 'upload', 'issu', 'govern', 'agenc', 'want', 'doubl', 'check', 'part', 'say', 'get', 'gover', 'mani', 'thank', 'check', 'want', 'call', 'pleas', 'let', 'know', 'receiv', 'respons', 'thank']",1
Bswift,"['wife', 'name', 'wrong', 'name', 'cigna', 'medic', 'issu', 'wife', 'employe', 'must', 'instead', 'make', 'chang', 'want', 'know', 'chang', 'must', 'do', 'side', 'research', 'check', 'bswift', 'name', 'wrong', 'resolut', 'escal', 'benefit', 'addit', 'info', 'employe', 'phone', 'number']",1
Bswift,"['deduct', 'stub', 'insur', 'name', 'verifi', 'ssn', 'yes', 'phone', 'number', 'email', 'address', 'request', 'want', 'know', 'deduct', 'stub', 'insur', 'research', 'check', 'puoc', 'transact', 'even', 'deduct', 'previous', 'stub', 'deduct', 'one', 'paid', 'tomorrow', 'check', 'also', 'bswift', 'medic', 'vision', 'dental', 'activ', 'resolut', 'inform', 'provid', 'employe', 'addit', 'info']",1
Bswift,"['spous', 'coverag', 'name', 'ssn', 'confirm', 'dob', 'confirm', 'phone', 'number', 'email', 'want', 'remov', 'wife', 'benefit', 'sent', 'document', 'email', 'say', 'offici', 'letterhead', 'research', 'bsift', 'benefit', 'waiv', 'realli', 'understand', 'receiv', 'email', 'first', 'request', 'offici', 'letterhead', 'sent', 'valid', 'per', 'email', 'receiv', 'resolut', 'inform', 'escal', 'benefit', 'process', 'assist', 'addit', 'info', 'employe', 'receiv', 'email', 'even', 'though', 'sent', 'doc', 'bswift', 'request', 'pleas', 'confirm', 'bswift', 'weather', 'requir', 'updat', 'document', 'get', 'process', 'complet']",1
Bswift,"['name', 'ssn', 'confirm', 'dob', 'confirm', 'phone', 'number', 'email', 'want', 'contact', 'employe', 'two', 'month', 'need', 'inform', 'benefit', 'know', 'start', 'pleas', 'provid', 'guidanc', 'instruct', 'ahead', 'start', 'elect', 'research', 'sap', 'resolut', 'escal', 'benefit', 'addit', 'info', 'send', 'answer', 'benefit', 'pleas', 'escal', 'team']",1
Bswift,"['coverag', 'name', 'want', 'know', 'cover', 'father', 'research', 'check', 'bswift', 'resolut', 'call', 'cigna', 'insur', 'interfac', 'run', 'everi', 'insur', 'pleas', 'back', 'addit', 'info']",1
Bswift,"['benefit', 'morn', 'laid', 'past', 'recent', 'give', 'opportun', 'chang', 'benefit', 'return', 'work', 'laid', 'voluntari', 'life', 'child', 'life', 'polici', 'pay', 'reason', 'longer', 'benefit', 'list', 'give', 'opportun', 'sign', 'chang', 'benefit', 'pleas', 'explain', 'happen', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['retire', 'beneficiari', 'retire', 'beneficiari', 'advis', 'back', 'continu', 'assist', 'talk', 'comprehend', 'sometim', 'attorney']",1
Bswift,"['vsp', 'phone', 'number', 'want', 'get', 'vsp', 'phone', 'number', 'contact', 'direct', 'provid', 'inform', 'action', 'requir']",1
Bswift,"['want', 'confirm', 'depend', 'cover', 'cigna', 'want', 'confirm', 'depend', 'cover', 'cigna', 'full', 'name', 'applic', 'ssn', 'xxx', 'dob', 'valid', 'ticket', 'reason', 'want', 'confirm', 'depend', 'cover', 'cigna', 'contact', 'number', 'email', 'address', 'final', 'resolut', 'biswift', 'valid', 'depend', 'approv', 'howev', 'cover', 'per', 'cigna', 'told', 'rais', 'confirm', 'cover', 'cigna', 'well']",1
Bswift,"['ticket', 'reason', 'want', 'know', 'insirunca', 'end', 'appli', 'medicar', 'full', 'name', 'terrant', 'applic', 'ssn', 'dob', 'valid', 'ticket', 'reason', 'want', 'know', 'insirunca', 'end', 'appli', 'medicar', 'contact', 'number', 'email', 'address', 'research', 'sap', 'inform', 'biswift', 'benefit', 'waiv', 'effect', 'reason', 'voluntari', 'termin', 'resolut', 'decid', 'phone', 'write', 'extra', 'info', 'need', 'tell', 'former', 'employe', 'contact', 'back', 'addit', 'info']",1
Bswift,"['hsa', 'balanc', 'question', 'transfer', 'activ', 'employe', 'want', 'know', 'hsa', 'card', 'balanc', 'transfer', 'payflex']",1
Bswift,"['tigu', 'add', 'daughter', 'insur', 'name', 'dayann', 'cigna', 'tigu', 'need', 'add', 'daughter', 'insur', 'research', 'bswift', 'resolut', 'daughter', 'alreadi', 'cover', 'cigna', 'receiv', 'inform', 'today', 'interfac', 'run', 'addit', 'info']",1
Bswift,"['add', 'spous', 'insur', 'name', 'verifi', 'ssn', 'verifi', 'dob', 'phone', 'number', 'email', 'address', 'request', 'marriag', 'licens', 'want', 'know', 'add', 'wife', 'insur', 'research', 'bswift', 'resolut', 'let', 'know', 'add', 'proof', 'tax', 'joint', 'well', 'need', 'someth', 'els', 'proof', 'valid', 'addit', 'info']",1
