categorias,tokens,etiquetas
Bswift,"['benefit', 'await', 'tri', 'complet', 'benefit', 'get', 'medic', 'dental', 'say', 'load', 'like', 'sinc', 'yesterday', 'suggest', 'deadlin', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['await', 'resposn', 'spous', 'call', 'depend', 'receiv', 'card', 'yet', 'includ', 'advis', 'cigna', 'seem', 'cover', 'end', 'told', 'cover', 'kid', 'seem', 'typic', 'cover', 'cigna', 'could', 'pleas', 'check', 'thank']",1
Bswift,"['abl', 'select', 'bronz', 'contact', 'get', 'option', 'select', 'bronz', 'somehow', 'system', 'show', 'want', 'correct', 'possibl', 'could', 'pleas', 'check', 'liter', 'guid', 'know', 'work', 'past', 'howev', 'profil', 'let', 'move', 'forward', 'mani', 'thank']",1
Bswift,"['fwd', 'attn', 'attn', 'greet', 'anyth', 'back', 'mylif', 'regard', 'retir', 'benefit', 'hsa', 'account', 'viabenefit', 'close', 'agre', 'via', 'benefit', 'respons', 'pleas', 'first', 'screen', 'shot', 'also', 'repli', 'via', 'benefit', 'disagr', 'pleas', 'second', 'screenshot', 'pleas', 'help', 'get', 'account', 'reinstat', 'hsa', 'fund', 'avail', 'reimburs', 'qualifi', 'medic', 'expens', 'imag', 'imag', 'png', 'respons', 'viabenefit', 'imag', 'imag', 'png', 'regard', 'forward', 'messag', 'date', 'subject', 'attn', 'hello', 'attach', 'fax', 'sent', 'via', 'benefit', 'regard', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['fwd', 'attn', 'ssa', 'letter', 'attent', 'pleas', 'advis', 'status', 'social', 'secur', 'administr', 'letter', 'sent', 'inform', 'entitl', 'benefit', 'lafargeholcim', 'mention', 'letter', 'reach', 'thank', 'regard', 'forward', 'messag', 'date', 'subject', 'attn', 'ssa', 'letter', 'attach', 'regard', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['inbound', 'request', 'annual', 'reimburs', 'grant', 'await', 'respons', 'call', 'abl', 'receiv', 'annual', 'reimburs', 'via', 'benefit', 'per', 'state', 'turn', 'get', 'medicar', 'longer', 'elig', 'longer', 'insur', 'advis', 'would', 'abl', 'get', 'annual', 'reimburs', 'get', 'letter', 'except', 'reimburs', 'process', 'could', 'pleas', 'check', 'mani', 'thank', 'ref', 'task']",1
Bswift,"['inbound', 'request', 'annual', 'reimburs', 'grant', 'await', 'respons', 'call', 'abl', 'receiv', 'annual', 'reimburs', 'via', 'benefit', 'per', 'state', 'turn', 'get', 'medicar', 'longer', 'elig', 'longer', 'insur', 'advis', 'would', 'abl', 'get', 'annual', 'reimburs', 'get', 'letter', 'except', 'reimburs', 'process', 'could', 'pleas', 'check', 'mani', 'thank', 'ref', 'task']",1
Bswift,"['inbound', 'request', 'annual', 'reimburs', 'grant', 'await', 'respons', 'call', 'abl', 'receiv', 'annual', 'reimburs', 'via', 'benefit', 'per', 'state', 'turn', 'get', 'medicar', 'longer', 'elig', 'longer', 'insur', 'advis', 'would', 'abl', 'get', 'annual', 'reimburs', 'get', 'letter', 'except', 'reimburs', 'process', 'could', 'pleas', 'check', 'mani', 'thank', 'ref', 'task']",1
Bswift,"['inbound', 'request', 'lenel', 'addit', 'window', 'request', 'ask', 'call', 'realli', 'need', 'dental', 'state', 'hurri', 'work', 'never', 'option', 'select', 'dental', 'kept', 'search', 'like', 'load', 'bar', 'work', 'end', 'elect', 'benefit', 'look', 'like', 'right', 'ask', 'addit', 'window', 'possibl', 'believ', 'option', 'get', 'tech', 'issu', 'experienc', 'fact', 'time', 'educ', 'call', 'understood', 'state', 'busi', 'also', 'make', 'awar', 'receiv', 'tech', 'issu', 'call', 'abl', 'time', 'want', 'escal', 'could', 'pleas', 'check', 'mucha', 'gracia']",1
Bswift,"['via', 'benefit', 'annual', 'reimburs', 'fund', 'avail', 'follow', 'retir', 'abl', 'get', 'annual', 'reimburs', 'via', 'benefit', 'state', 'provid', 'attach', 'detail', 'insid', 'via', 'benefit', 'except', 'manag', 'team', 'today', 'go', 'submit', 'pocket', 'medic', 'expens', 'premium', 'medicar', 'cobra', 'spous', 'nashrin', 'respect', 'find', 'unabl', 'account', 'show', 'balanc', 'year', 'none', 'seem', 'avail', 'account', 'websit', 'find', 'unbeknownst', 'account', 'close', 'octob', 'would', 'also', 'notic', 'receiv', 'automat', 'reimburs', 'medicar', 'premium', 'pleas', 'note', 'full', 'time', 'employ', 'receiv', 'health', 'coverag', 'employ', 'date', 'employ', 'end', 'enrol', 'medicar', 'part', 'enrol', 'spous', 'cobra', 'well', 'enrol', 'medicar', 'part', 'turn', 'default', 'manner', 'elig', 'medic', 'expens', 'incur', 'includ', 'medicar', 'cobra', 'premium', 'would', 'like', 'get', 'reimburs', 'proceed', 'pleas', 'advis', 'thank', 'retir', 'lafarg', 'holcim', 'also', 'receiv', 'letter', 'imag', 'attach', 'administr', 'regard', 'potenti', 'privat', 'retir', 'benefit', 'entitl', 'letter', 'could', 'pleas', 'request', 'seem', 'appeal', 'someth', 'first', 'thing', 'second', 'shall', 'proceed', 'mani', 'thank']",1
Bswift,"['via', 'benefit', 'annual', 'reimburs', 'fund', 'avail', 'follow', 'retir', 'abl', 'get', 'annual', 'reimburs', 'via', 'benefit', 'state', 'provid', 'attach', 'detail', 'insid', 'via', 'benefit', 'except', 'manag', 'team', 'today', 'go', 'submit', 'pocket', 'medic', 'expens', 'premium', 'medicar', 'cobra', 'spous', 'nashrin', 'respect', 'find', 'unabl', 'account', 'show', 'balanc', 'year', 'none', 'seem', 'avail', 'account', 'websit', 'find', 'unbeknownst', 'account', 'close', 'octob', 'would', 'also', 'notic', 'receiv', 'automat', 'reimburs', 'medicar', 'premium', 'pleas', 'note', 'full', 'time', 'employ', 'receiv', 'health', 'coverag', 'employ', 'date', 'employ', 'end', 'enrol', 'medicar', 'part', 'enrol', 'spous', 'cobra', 'well', 'enrol', 'medicar', 'part', 'turn', 'default', 'manner', 'elig', 'medic', 'expens', 'incur', 'includ', 'medicar', 'cobra', 'premium', 'would', 'like', 'get', 'reimburs', 'proceed', 'pleas', 'advis', 'thank', 'retir', 'lafarg', 'holcim', 'also', 'receiv', 'letter', 'imag', 'attach', 'administr', 'regard', 'potenti', 'privat', 'retir', 'benefit', 'entitl', 'letter', 'could', 'pleas', 'request', 'seem', 'appeal', 'someth', 'first', 'thing', 'second', 'shall', 'proceed', 'mani', 'thank']",1
Bswift,"['approv', 'kid', 'approv', 'kid']",1
Bswift,"['retire', 'sierman', 'bswift', 'bill', 'retire', 'call', 'need', 'bill', 'bswift', 'premium', 'transfer']",1
Bswift,"['stimulus', 'sign', 'minut', 'approv', 'presid', 'trump', 'sign', 'covid', 'relief', 'omnibus', 'agreement', 'right', 'pend', 'govern', 'shutdown', 'includ', 'busi', 'extens', 'expans', 'ppp', 'includ', 'second', 'round', 'loan', 'busi', 'reduct', 'quarter', 'revenu', 'modif', 'serv', 'nonprofit', 'restaur', 'live', 'venu', 'independ', 'movi', 'theater', 'cultur', 'institut', 'forgiv', 'simplif', 'loan', 'less', 'deduct', 'expens', 'paid', 'ppp', 'fund', 'includ', 'need', 'wait', 'offici', 'releas', 'provid', 'billion', 'restart', 'extend', 'eidl', 'grant', 'billion', 'program', 'live', 'venu', 'theatr', 'museum', 'zoo', 'extend', 'improv', 'employe', 'retent', 'credit', 'tax', 'credit', 'support', 'employ', 'offer', 'paid', 'sick', 'leav', 'individu', 'stimulus', 'check', 'per', 'adult', 'child', 'could', 'go', 'per', 'sign', 'yet', 'enhanc', 'unemploy', 'benefit', 'per', 'week', 'strengthen', 'incom', 'hous', 'tax', 'credit', 'improv', 'earn', 'incom', 'tax', 'credit', 'child', 'tax', 'credit', 'allow', 'lookback', 'incom', 'deduct', 'busi', 'meal', 'expens', 'excis', 'tax', 'rate', 'wine', 'spirit', 'maker', 'extens', 'mortgag', 'debt', 'forgiv', 'exclus', 'incom', 'extend', 'five', 'year', 'extens', 'market', 'credit', 'work', 'opportun', 'tax', 'credit', 'wotc', 'extend', 'clean', 'energi', 'tax', 'credit', 'want', 'option', 'chang', 'let', 'talk', 'set', 'time', 'http', 'zawd', 'sendibm', 'com', 'jktvganphddfcg', 'ttcgyawa', 'yedrfnrixiqmnkn', 'ybwfn', 'spnaa', 'wyplnjth', 'yndkc', 'jvum', 'dtnxtxfllrj', 'xvkso', 'prmiprlno', 'anagwsfcz', 'vrfwdeanxwmssnzfisbxlz', 'jxebkmu', 'dvfehwooua', 'dsrnz', 'podggwivgbjdmzssq', 'talk', 'note', 'would', 'like', 'unsubscrib', 'futur', 'email', 'pleas', 'http', 'zawd', 'sendibm', 'com', 'cmawl', 'uutrir', 'pvtvanalqprofcgh', 'yxgoxmwjh', 'xvuzqbxkoisk', 'fcrmix', 'lhzh', 'kbn', 'wgcibjyg', 'ulxxrx', 'xckpf', 'nsxcgmlhecpkqcdhklvr', 'broyk', 'rpr', 'bek', 'opkhbqz', 'rrnttfstg', 'npg', 'ecic', 'lindholm', 'compani', 'achiev', 'posit', 'result', 'client', 'success', 'top', 'client', 'typic', 'past', 'perform', 'predictor', 'futur', 'success', 'less', 'success', 'depend', 'mani', 'factor', 'includ', 'background', 'experi', 'work', 'ethic', 'client', 'base', 'market', 'forc', 'addit', 'time', 'discus', 'pend', 'legisl', 'pleas', 'know', 'understand', 'constant', 'chang', 'reli', 'upon', 'communic', 'financi', 'account', 'advic', 'late', 'updat', 'set', 'time', 'http', 'zawd', 'sendibm', 'com', 'yckwvkoeonbx', 'pqlnyxou', 'gybcgtejf', 'dng', 'harkkyoxtx', 'qdyc', 'jooo', 'lywgid', 'nysywqw', 'izu', 'wafnf', 'nij', 'vzbka', 'cmrjr', 'iqo', 'jwdb', 'nod', 'tmjab', 'emw', 'ipgorhfmcuvv', 'iuxik', 'lindholm', 'compani', 'right', 'reserv', 'protect', 'copyright', 'unit', 'treati', 'email', 'use', 'pursuant', 'term', 'use', 'agreement', 'http', 'zawd', 'sendibm', 'com', 'yodyntga', 'nzi', 'ksut', 'znjsnjbh', 'pzmschrgunmcsbkgtzkhdnj', 'skupsau', 'jnuy', 'hdbayxrdnfzz', 'fwquv', 'rijsaetqx', 'userrndki', 'rfcdthax', 'mnzbvozxmz', 'obb', 'etk', 'tmx', 'qiazn', 'zgsl', 'xppnpnnhsecdoeseb', 'ojivwgh', 'privaci', 'polici', 'http', 'zawd', 'sendibm', 'com', 'buej', 'oasax', 'ybblr', 'kfjoitdmnovkitj', 'uaebfo', 'cfwls', 'fajq', 'cfyju', 'qnjmk', 'nvfmlmdvb', 'uqlqwao', 'eqteubssxalvqdmfsz', 'hiywgbhyt', 'tncei', 'bqgzkbsl', 'puu', 'avp', 'skaqfivxsaya', 'reproduct', 'copi', 'redistribut', 'electron', 'otherwis', 'whole', 'part', 'strict', 'prohibit', 'without', 'express', 'write', 'permiss', 'ohio', 'email', 'http', 'zawd', 'sendibm', 'com', 'plbl', 'xyexpn', 'godygtzuirlhcguwo', 'nag', 'upwizhltlcmjzqwjjyw', 'jjjqyxma', 'jwmraqw', 'dfnbkrha', 'uec', 'rfzxpqctmarmbbetbiakbrtmntcx', 'meulyjp', 'lkm', 'dvht', 'afe', 'kophywjuia', 'emkvowrxumpbhpbc', 'mjk', 'esi', 'ijo', 'wpan', 'saiwrsnmhvhbkstppq', 'kgv', 'mipzhrci', 'pxm', 'lkegnxjut', 'iisvkrwwnlh', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['std', 'payment', 'await', 'respons', 'call', 'get', 'std', 'confirm', 'get', 'payment', 'per', 'disabl', 'tracker', 'go', 'leav', 'three', 'wait', 'period', 'payment', 'start', 'conclus', 'along', 'comment', 'paystub', 'show', 'get', 'paid', 'howev', 'think', 'would', 'could', 'pleas', 'confirm', 'get', 'payment', 'also', 'complaint', 'fact', 'get', 'payment', 'highlight', 'process', 'request', 'possibl', 'receiv', 'cigna', 'mani', 'thank', 'great', 'benefit', 'specialist', 'mylif', 'usa']",1
Bswift,"['activ', 'bswift', 'cigna', 'end', 'await', 'respons', 'spous', 'call', 'told', 'phone', 'coverag', 'per', 'inform', 'cigna', 'rep', 'could', 'cover', 'seem', 'typic', 'cigna', 'end', 'show', 'could', 'pleas', 'check', 'one', 'sound', 'kinda', 'upset', 'although', 'explain', 'everyth', 'thank']",1
Bswift,"['benefit', 'bill', 'benefit', 'bill']",1
Bswift,"['dental', 'coverag', 'await', 'detail', 'current', 'ltd', 'dental', 'receiv', 'anyth', 'chang', 'current', 'claim', 'dental', 'cigna', 'call', 'appear', 'current', 'coverag', 'therefor', 'would', 'like', 'request', 'help', 'could', 'pleas', 'check', 'seem', 'realli', 'affect', 'mani', 'thank']",1
Bswift,"['dental', 'coverag', 'await', 'detail', 'current', 'ltd', 'dental', 'receiv', 'anyth', 'chang', 'current', 'claim', 'dental', 'cigna', 'call', 'appear', 'current', 'coverag', 'therefor', 'would', 'like', 'request', 'help', 'could', 'pleas', 'check', 'seem', 'realli', 'affect', 'mani', 'thank']",1
Bswift,"['farrier', 'death', 'notif', 'mylif', 'death', 'ssn', 'spous', 'yes', 'ask', 'ssn', 'farrier', 'notifi', 'name', 'aeken', 'relationship', 'deceas', 'phone', 'number', 'address', 'address', 'wyndham', 'address', 'citi', 'alpena', 'zip', 'death', 'certif', 'yes', 'pension', 'number', 'yes']",1
Bswift,"['pleas', 'audit', 'origin', 'task', 'date', 'death', 'novemb', 'ssn', 'spous', 'yes', 'current', 'wife', 'spous', 'notifi', 'name', 'willean', 'marri', 'told', 'everyth', 'setup', 'get', 'pension', 'stuff', 'relationship', 'deceas', 'wife', 'phone', 'number', 'address', 'muskegon', 'height', 'usa', 'yes', 'pension', 'number', 'yes', 'request', 'death', 'certif', 'yes']",1
Bswift,"['pleas', 'audit', 'task', 'woodle', 'death', 'notif', 'dod', 'septemb', 'dob', 'ssn', 'spous', 'pass', 'address', 'cir', 'powder', 'notifi', 'name', 'relationship', 'deceas', 'email', 'phone', 'number', 'address', 'bremen', 'request', 'pension', 'number', 'provid']",1
Bswift,"['pleas', 'audit', 'task', 'farrier', 'death', 'notif', 'dod', 'ssn', 'spous', 'farrier', 'notifi', 'name', 'aeken', 'relationship', 'deceas', 'daughter', 'phone', 'number', 'address', 'wyndham', 'alpena', 'death', 'certif', 'yes', 'pension', 'number', 'yes']",1
Bswift,"['tobacco', 'surcharg', 'task', 'reach', 'back', 'suppos', 'resolv', 'charg', 'tobacco', 'tax', 'state', 'would', 'like', 'review', 'open', 'enrol', 'sinc', 'put', 'tobacco', 'also', 'want', 'except']",1
Bswift,"['tobacco', 'surcharg', 'task', 'reach', 'back', 'suppos', 'resolv', 'charg', 'tobacco', 'tax', 'state', 'would', 'like', 'review', 'open', 'enrol', 'sinc', 'put', 'tobacco', 'also', 'want', 'except']",1
Bswift,"['benefit', 'payment', 'employe', 'contact', 'get', 'email', 'cigna', 'januari', 'state', 'go', 'charg', 'health', 'insur', 'laid', 'novemb', 'check', 'found', 'noth', 'relat', 'deduct', 'could', 'pleas', 'verifi']",1
Bswift,"['account', 'incent', 'payout', 'januari', 'accord', 'incent', 'suppos', 'paid', 'januari', 'pleas', 'advis', 'approxim', 'date', 'need', 'direct', 'want', 'incent', 'lafargeholcim', 'deposit', 'behalf', 'incent', 'automat', 'deposit', 'health', 'save', 'account', 'hsa', 'flexibl', 'spend', 'account', 'fsa', 'paid', 'via', 'payrol', 'enrol', 'hsa', 'fsa', 'januari', 'anyon', 'termin', 'employ', 'retir', 'decemb', 'receiv', 'incent', 'administr', 'holcim', 'inc', 'midlothian', 'phone', 'mobil', 'www', 'holcim', 'com', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['address', 'chang', 'afternoon', 'famili', 'recent', 'move', 'tri', 'edit', 'address', 'bswift', 'would', 'let', 'edit', 'inform', 'address', 'portion', 'chang', 'also', 'anywher', 'els', 'would', 'need', 'chang', 'address', 'compani', 'automat', 'chang', 'benefit', 'like', 'medic', 'insur', 'etc', 'chang', 'individu', 'thank', 'help', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['attn', 'life', 'ask', 'concern', 'apolog', 'inconveni', 'open', 'enrol', 'lafargeholcim', 'materi', 'hospit', 'unabl', 'complet', 'request', 'insur', 'place', 'back', 'previous', 'coverag', 'incap', 'particip', 'open', 'enrol', 'thank', 'help', 'question', 'pleas', 'contact', 'via', 'email', 'employe', 'full', 'name', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['cancel', 'health', 'hello', 'pleas', 'cancel', 'entir', 'famili', 'insur', 'includ', 'use', 'insur', 'want', 'termin', 'asap', 'enclos', 'proof', 'insur', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['access', 'bswift', 'pleas', 'reset', 'bswift', 'account', 'access', 'moment', 'phone', 'number', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['gay', 'death', 'certif', 'attn', 'pleas', 'find', 'father', 'death', 'certif', 'attach', 'possibl', 'pleas', 'confirm', 'receipt', 'email', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['gay', 'death', 'certif', 'attn', 'pleas', 'find', 'father', 'death', 'certif', 'attach', 'possibl', 'pleas', 'confirm', 'receipt', 'email', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['benefit', 'coverag', 'waiv', 'empploye', 'call', 'valid', 'reason', 'benefit', 'waiv', 'check', 'bswift', 'confirm', 'medic', 'waiv', 'non', 'contribut', 'pay', 'bswift', 'team', 'employe', 'awar', 'use', 'benefit', 'coverag', 'nevertheless', 'ask', 'anyth', 'could', 'do', 'restor', 'benefit', 'back', 'wish', 'gor', 'trough', 'pandem', 'told', 'employe', 'phone', 'tri', 'escal', 'exempt', 'promis', 'sinc', 'issu', 'system', 'continu', 'wiht', 'benefit', 'email', 'phone']",1
Bswift,"['benefit', 'coverag', 'waiv', 'need', 'know', 'happen', 'benefit', 'coverag', 'sinc', 'visit', 'doctor', 'told', 'coverag', 'check', 'bswift', 'benefit', 'waiv', 'come', 'back', 'use', 'aetna', 'coverag', 'cigna', 'benefit', 'waiv', 'sinc', 'want', 'doubl', 'check', 'record', 'visit', 'doctor', 'almost', 'sure', 'benefit', 'year', 'even', 'though']",1
Bswift,"['cigna', 'notic', 'insur', 'coverag', 'afternoon', 'sure', 'happen', 'enrol', 'year', 'receiv', 'attach', 'notic', 'cigna', 'deni', 'coverag', 'receiv', 'evid', 'insur', 'form', 'sure', 'thought', 'submit', 'medic', 'questionnair', 'part', 'open', 'enrol', 'thank', 'manag', 'readi', 'aggreg', 'industri', 'mid', 'atlant', 'region', 'triangl', 'drive', 'suit', 'greenbelt', 'phone', 'cell', 'email', 'www', 'lafargeholcim', 'http', 'www', 'lafargeholcim', 'member', 'lafargeholcim', 'group', 'look', 'perform', 'www', 'concretethatperform', 'com', 'email', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'email', 'pleas', 'delet', 'immedi', 'notifi', 'mail', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['depend', 'incorrect', 'name', 'correct', 'name']",1
Bswift,"['tobacco', 'usuag', 'answer', 'tobacco', 'usag', 'thank', 'great', 'dispatch', 'csr', 'aggreg', 'industri', 'road', 'chantilli', 'phone', 'ext', 'cell', 'fax', 'number', 'email', 'www', 'aggreg', 'com', 'mail', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'mail', 'pleas', 'delet', 'immedi', 'notifi', 'mail', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['dental', 'insur', 'greet', 'name', 'work', 'hagerstown', 'maryland', 'facil', 'employe', 'upon', 'receiv', 'statement', 'note', 'contribut', 'dental', 'insur', 'deduct', 'call', 'cigna', 'inform', 'dental', 'coverag', 'drop', 'cigna', 'repres', 'place', 'mylifeteamlh', 'request', 'send', 'email', 'address', 'time', 'confus', 'coverag', 'drop', 'without', 'notif', 'awar', 'pleas', 'reinstat', 'dental', 'insur', 'coverag', 'elect', 'time', 'essenc', 'dental', 'appoint', 'come', 'januari', 'hop', 'cancel', 'covid', 'difficult', 'imposs', 'obtain', 'anoth', 'appoint', 'cell', 'phone', 'number', 'thank', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['depend', 'document', 'hello', 'document', 'upload', 'depend', 'tell', 'actual', 'show', 'cover', 'thank', 'account', 'aggreg', 'industri', 'offic', 'cell', 'attach', 'area', 'attach', 'area', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['elig', 'verif', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['trinida', 'julianna', 'alreadi', 'sent', 'paper', 'work', 'bswift', 'life', 'chang', 'enter', 'date', 'accept', 'someth', 'miss', 'lupe', 'lafarg', 'decor', 'custom', 'phone', 'mobil', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['inbound', 'request', 'tobacco', 'letter', 'await', 'respons', 'call', 'receiv', 'letter', 'tobacco', 'usag', 'state', 'make', 'mistak', 'smoke', 'sinc', 'sinc', 'year', 'ago', 'call', 'mani', 'thank', 'check', 'wish']",1
Bswift,"['inbound', 'request', 'enrol', 'tech', 'issu', 'await', 'detail', 'call', 'experienc', 'tech', 'issu', 'everyth', 'corpor', 'email', 'call', 'supervisor', 'go', 'two', 'support', 'seem', 'lose', 'window', 'ask', 'could', 'except', 'window', 'realli', 'need', 'could', 'pleas', 'check', 'mani', 'thank']",1
Bswift,"['inbound', 'request', 'tobacco', 'letter', 'await', 'respons', 'call', 'receiv', 'letter', 'tobacco', 'usag', 'pay', 'someth', 'husband', 'use', 'smoke', 'past', 'year', 'want', 'clarifi', 'call', 'mani', 'thank', 'check', 'wish']",1
Bswift,"['inbound', 'request', 'tobacco', 'usag', 'await', 'respons', 'receiv', 'letter', 'say', 'answer', 'yes', 'question', 'spous', 'use', 'form', 'tobacco', 'product', 'year', 'answer', 'neither', 'use', 'tobacco', 'product', 'must', 'click', 'yes', 'busi', 'partner', 'lafargeholcim', 'teco', 'avenu', 'vega', 'phone', 'fax', 'email', 'www', 'aggreg', 'com', 'mail', 'confidenti', 'intend', 'use', 'name', 'addresse', 'receiv', 'mail', 'pleas', 'delet', 'immedi', 'notifi', 'mail', 'telephon', 'unsubscrib', 'group', 'stop', 'receiv', 'email', 'send', 'email']",1
Bswift,"['benefit', 'coverag', 'retire', 'benefit', 'coverag', 'retire', 'pleas', 'ask', 'benefit', 'entitl']",1
Bswift,"['benefit', 'coverag', 'retire', 'task', 'benefit', 'coverag', 'retire', 'pleas', 'ask', 'benefit', 'entitl', 'need', 'continu', 'via', 'benefit']",1
Bswift,"['spous', 'enrol', 'even', 'call', 'notic', 'spous', 'appear', 'enrol', 'system', 'say', 'fulli', 'sure', 'howev', 'seem', 'like', 'chang', 'mention', 'go', 'explain', 'appear', 'enrol', 'nevertheless', 'ask', 'except', 'could', 'pleas', 'check', 'mani', 'thank']",1
